rep,subj_n,b3,parameter,Estimate,Est.Error,Q2.5,Q97.5
9,500,0.2,mat2v1,-0.33384639975,0.0317203534354595,-0.39555445,-0.27244667499999997
9,500,0.2,mat3v1,0.2028783235,0.01887032998674904,0.16528344999999997,0.240601475
10,500,0.2,Intercept,0.0037620346753,0.044611477412270825,-0.088422115,0.09704634250000005
10,500,0.2,agentd,0.12844966862375,0.038503643002367985,0.05372108750000001,0.20302230000000004
10,500,0.2,mat2v1,-0.37850350575,0.03264234058126995,-0.4426851,-0.314310225
10,500,0.2,mat3v1,0.19628367675,0.020057487555873565,0.15732875,0.23541784999999998
11,500,0.2,Intercept,0.014605999976225,0.06732196596059241,-0.12264417500000001,0.146188775
11,500,0.2,agentd,0.211456312375,0.038397643485041114,0.13793490000000003,0.28732170000000007
11,500,0.2,mat2v1,-0.361286616,0.03255462187277505,-0.4239937,-0.29534854999999993
11,500,0.2,mat3v1,0.1975402755,0.01958685244442735,0.15836475,0.235853325
12,500,0.2,Intercept,0.0391297242604,0.06639336938993995,-0.09879392999999999,0.16567285
12,500,0.2,agentd,0.1939988524,0.03687319507706543,0.122863525,0.265034325
12,500,0.2,mat2v1,-0.401312085,0.03290583919570459,-0.46723947499999996,-0.33432407499999994
12,500,0.2,mat3v1,0.18400122625,0.019412832336585844,0.1464716,0.222796675
13,500,0.2,Intercept,0.0164859699702825,0.043644754080389404,-0.07018778499999999,0.100354125
13,500,0.2,agentd,0.22389584705,0.04010719753079339,0.14588722499999998,0.30346365
13,500,0.2,mat2v1,-0.36791384525,0.031587290340943666,-0.42992342499999997,-0.30330324999999997
13,500,0.2,mat3v1,0.2076373355,0.018454690314391346,0.171318325,0.243075475
14,500,0.2,Intercept,-0.0208217442636475,0.048381780367044006,-0.115592225,0.0810282475
14,500,0.2,agentd,0.2361628905,0.039145989328648205,0.158705675,0.31353604999999996
14,500,0.2,mat2v1,-0.38451389575,0.03246827341060729,-0.449660925,-0.319970425
14,500,0.2,mat3v1,0.163627211025,0.01923840280396122,0.126649475,0.20067127499999998
15,500,0.2,Intercept,-0.12018560987095,0.044110904151823185,-0.194423275,-0.012571459999999984
15,500,0.2,agentd,0.1719842668,0.040195439664892724,0.09629483250000001,0.25153895
15,500,0.2,mat2v1,-0.32695556425,0.031150911809528354,-0.3868339,-0.264641725
15,500,0.2,mat3v1,0.178411715,0.018892537711595842,0.14165912500000002,0.21557552500000005
16,500,0.2,Intercept,-0.060346261335975,0.06352693148251737,-0.173846075,0.07808627000000001
16,500,0.2,agentd,0.176856632475,0.03776962256685693,0.09972212,0.24832482500000003
16,500,0.2,mat2v1,-0.33117578925,0.030937866439345638,-0.39108309999999996,-0.2717669
16,500,0.2,mat3v1,0.214396906,0.019693010839283643,0.17522525,0.2516887
17,500,0.2,Intercept,-0.098747152241475,0.04195372842994772,-0.171394,2.9686577500000953e-4
17,500,0.2,agentd,0.1892336372,0.03909180919862282,0.110795625,0.26603367499999997
17,500,0.2,mat2v1,-0.315826288,0.03241939511921883,-0.3798241,-0.25302735
17,500,0.2,mat3v1,0.21467695725,0.0181717803208417,0.179369725,0.25055152500000005
18,500,0.2,Intercept,0.046768649827025,0.0636697062893547,-0.08665382499999999,0.1634623250000001
18,500,0.2,agentd,0.182276334725,0.039283894855365264,0.10634579999999999,0.2571822
18,500,0.2,mat2v1,-0.316657409,0.033672069444420645,-0.380855275,-0.248343575
18,500,0.2,mat3v1,0.237167961,0.019261155711906765,0.19907487499999998,0.274184575
19,500,0.2,Intercept,-0.008275117634575,0.05855652661953366,-0.125837325,0.110480775
19,500,0.2,agentd,0.173184341075,0.040811332950596906,0.094061915,0.254457575
19,500,0.2,mat2v1,-0.38727383775,0.031969360124940324,-0.449194325,-0.323624625
19,500,0.2,mat3v1,0.19232813975,0.01882167720714449,0.154420825,0.229449425
20,500,0.2,Intercept,0.02466615670178,0.047428818491250795,-0.0766709325,0.11690575000000004
20,500,0.2,agentd,0.21822225365,0.0383391904527865,0.142395675,0.29204870000000005
20,500,0.2,mat2v1,-0.3946046385,0.03380709467999274,-0.46130107499999995,-0.329365275
20,500,0.2,mat3v1,0.185027033,0.018688790351842326,0.147694925,0.22189602500000002
21,500,0.2,Intercept,0.02670477966635,0.07039757924006843,-0.117816125,0.16396922500000008
21,500,0.2,agentd,0.141518956245,0.04084479087624607,0.05963285250000001,0.22007692500000006
21,500,0.2,mat2v1,-0.42747469625,0.03173557278514894,-0.489201,-0.3625546499999999
